real time, cpu time
120.64, 14.06
64.72, 14.85
47.41, 16.19
40.47, 18.31
47.53, 17.68
43.32, 18.11
43.67, 18.25
41.99, 18.68
45.08, 18.41
43.79, 18.58
44.35, 18.58
43.36, 18.92
44.76, 18.90
45.15, 18.94
44.87, 18.97
44.51, 19.33
47.80, 19.19
46.98, 19.08
45.95, 19.23
46.54, 19.53
49.07, 19.57
48.72, 19.63
48.15, 19.69
48.08, 19.75
48.50, 19.76
48.93, 19.93
48.90, 19.93
49.03, 20.00
49.37, 20.11
49.91, 20.13
50.00, 20.12
49.89, 20.16
50.74, 20.32
50.86, 20.34
50.47, 20.41
51.33, 20.48
50.86, 20.49
51.64, 20.55
51.20, 20.61
51.82, 20.64
51.63, 20.67
51.85, 20.67
51.75, 20.84
52.55, 20.86
52.76, 20.89
52.60, 20.90
53.06, 20.99
53.12, 21.00
53.30, 21.05
53.62, 21.10
53.50, 21.15
53.70, 21.24
53.81, 21.17
53.92, 21.30
53.93, 21.53
53.82, 21.34
54.35, 21.45
54.15, 21.49
54.67, 21.46
55.02, 21.53
55.15, 21.69
55.48, 21.83
55.57, 21.57
55.20, 21.56
56.07, 21.73
56.03, 21.78
56.47, 22.04
56.02, 21.96
56.58, 22.07
56.29, 21.96
56.38, 22.03
56.86, 22.09
56.25, 22.14
56.76, 22.11
57.09, 22.31
57.12, 22.27
57.69, 22.40
57.44, 22.30
57.96, 22.46
57.86, 22.39
58.37, 22.38
59.03, 22.64
58.92, 22.65
59.19, 22.74
59.53, 22.80
59.16, 22.71
59.71, 22.86
59.94, 22.80
59.91, 22.86
60.06, 22.90
60.09, 22.97
60.13, 22.98
60.93, 23.24
60.68, 23.15
61.15, 23.22
60.79, 23.14
61.56, 23.38
61.69, 23.30
61.42, 23.25
61.42, 23.36
